team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,SET PIECE,KICK OFF,1,1,0.04,0,0.0,B19,,,,,,1
Away,PASS,PASS,1,1,0.04,3,0.12,B19,B21,48.6,28.080000000000002,59.400000000000006,30.96,1
Away,PASS,PASS,1,3,0.12,17,0.68,B21,B15,59.400000000000006,30.96,62.63999999999999,15.12,1
Away,PASS,PASS,1,45,1.8,61,2.44,B15,B19,59.400000000000006,13.68,48.6,22.32,1
Away,PASS,PASS,1,77,3.08,96,3.84,B19,B21,48.6,23.04,52.92,33.839999999999996,1
Away,PASS,PASS,1,191,7.64,217,8.68,B21,B22,43.2,52.56,34.56,70.56,1
Away,PASS,PASS,1,279,11.16,303,12.12,B22,B17,42.120000000000005,69.12,52.92,70.56,1
Away,BALL LOST,INTERCEPTION,1,346,13.84,380,15.2,B17,,55.08,69.84,29.160000000000004,54.0,1
Home,RECOVERY,INTERCEPTION,1,378,15.12,378,15.12,A02,,29.160000000000004,56.160000000000004,,,1
Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,A02,,29.160000000000004,56.160000000000004,63.72,46.08,1
Away,RECOVERY,INTERCEPTION,1,453,18.12,453,18.12,B16,,61.559999999999995,48.24,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,453,18.12,497,19.88,B16,,61.559999999999995,48.24,35.64,46.800000000000004,1
Away,CHALLENGE,AERIAL-LOST,1,497,19.88,497,19.88,B18,,41.04,48.24,,,1
Home,CHALLENGE,AERIAL-WON,1,498,19.92,498,19.92,A02,,38.879999999999995,48.24,,,1
Home,RECOVERY,INTERCEPTION,1,498,19.92,498,19.92,A02,,38.879999999999995,48.24,,,1
Home,PASS,HEAD,1,498,19.92,536,21.44,A02,A09,38.879999999999995,48.24,57.24,42.48,1
Home,PASS,PASS,1,536,21.44,556,22.24,A09,A10,57.24,42.48,54.0,46.800000000000004,1
Home,BALL LOST,INTERCEPTION,1,572,22.88,616,24.64,A10,,54.0,46.800000000000004,72.36,31.68,1
Away,RECOVERY,INTERCEPTION,1,618,24.72,618,24.72,B16,,69.12,33.120000000000005,,,1
Away,PASS,PASS,1,763,30.52,784,31.36,B16,B19,62.63999999999999,19.44,55.08,23.76,1
Away,PASS,PASS,1,784,31.36,804,32.16,B19,B20,55.08,23.76,61.559999999999995,33.839999999999996,1
Away,PASS,PASS,1,834,33.36,881,35.24,B20,B22,57.24,38.160000000000004,47.52,66.24000000000001,1
Away,PASS,PASS,1,976,39.04,1010,40.4,B22,B17,38.879999999999995,69.12,51.839999999999996,61.92,1
Away,BALL LOST,INTERCEPTION,1,1110,44.4,1134,45.36,B17,,45.36,56.88,33.48,60.48,1
Home,RECOVERY,INTERCEPTION,1,1134,45.36,1134,45.36,A05,,34.56,64.08,,,1
Home,PASS,HEAD,1,1134,45.36,1154,46.16,A05,A06,34.56,64.08,33.48,56.160000000000004,1
Home,PASS,PASS,1,1154,46.16,1177,47.08,A06,A10,33.48,56.160000000000004,44.279999999999994,53.28,1
Home,PASS,PASS,1,1226,49.04,1266,50.64,A10,A08,49.68,48.96,60.480000000000004,24.48,1
Home,BALL LOST,INTERCEPTION,1,1370,54.8,1375,55.0,A08,,92.88,18.72,95.04,20.160000000000004,1
Away,RECOVERY,INTERCEPTION,1,1374,54.96,1374,54.96,B15,,93.96,20.88,,,1
Away,BALL OUT,BALL OUT,1,1374,54.96,1425,57.0,B15,,93.96,20.88,113.4,12.24,1
Home,SET PIECE,CORNER KICK,1,2143,85.72,2143,85.72,A06,,,,,,1
Home,PASS,PASS,1,2143,85.72,2184,87.36,A06,A10,108.0,0.72,97.2,6.4799999999999995,1
Home,PASS,CROSS,1,2263,90.52,2289,91.56,A10,A09,96.12,10.080000000000002,99.36,33.839999999999996,1
Home,SHOT,HEAD-ON TARGET-GOAL,1,2289,91.56,2309,92.36,A09,,99.36,33.839999999999996,109.08,39.6,1
Away,SET PIECE,KICK OFF,1,3675,147.0,3675,147.0,B19,,,,,,1
Away,PASS,PASS,1,3675,147.0,3703,148.12,B19,B21,52.92,36.0,62.63999999999999,37.44,1
Away,PASS,PASS,1,3780,151.2,3805,152.2,B21,B20,61.559999999999995,38.160000000000004,62.63999999999999,52.56,1
Away,PASS,PASS,1,3829,153.16,3854,154.16,B20,B22,61.559999999999995,54.72,56.160000000000004,70.56,1
Away,PASS,PASS,1,3882,155.28,3907,156.28,B22,B17,59.400000000000006,68.39999999999999,74.52,62.64,1
Away,PASS,PASS,1,3930,157.2,3994,159.76,B17,B25,76.67999999999999,61.92,100.44000000000001,39.6,1
Away,BALL OUT,BALL OUT,1,4093,163.72,4164,166.56,B25,,100.44000000000001,40.32000000000001,52.92,74.88,1
Home,SET PIECE,THROW IN,1,4386,175.44,4386,175.44,A01,,,,,,1
Home,PASS,PASS,1,4386,175.44,4445,177.8,A01,A10,52.92,72.72,59.400000000000006,60.48,1
Home,BALL LOST,BALL LOST,1,4445,177.8,4453,178.12,A10,,59.400000000000006,60.48,61.559999999999995,56.160000000000004,1
Away,RECOVERY,RECOVERY,1,4452,178.08,4452,178.08,B19,,60.480000000000004,59.04,,,1
Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,B19,,58.32000000000001,62.64,51.839999999999996,61.199999999999996,1
Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,A01,,54.0,62.64,,,1
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,A01,,39.96,69.84,70.2,66.24000000000001,1
Away,RECOVERY,INTERCEPTION,1,4679,187.16,4679,187.16,B17,,66.96,66.24000000000001,,,1
Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,B17,,64.8,68.39999999999999,38.879999999999995,56.160000000000004,1
Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,A07,,42.120000000000005,56.160000000000004,,,1
Home,BALL OUT,BALL OUT,1,4751,190.04,4836,193.44,A07,,42.120000000000005,56.160000000000004,72.36,74.16,1
Away,SET PIECE,THROW IN,1,5057,202.28,5057,202.28,B22,,,,,,1
Away,PASS,PASS,1,5057,202.28,5081,203.24,B22,B19,62.63999999999999,72.72,61.559999999999995,64.08,1
Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206.0,B19,,61.559999999999995,64.08,27.0,60.48,1
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,A02,,25.919999999999998,59.04,,,1
Home,PASS,PASS,1,5149,205.96,5202,208.08,A02,A01,25.919999999999998,59.04,34.56,64.08,1
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,A01,,34.56,64.08,35.64,60.48,1
Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,A06,,38.879999999999995,59.04,,,1
