team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome,event_id
Away,PASS,PASS,1,1,0.04,3,0.12,B19,B21,48.6,28.08,59.400000000000006,30.96,1,1,False,False,False,PASS,True,0
Away,PASS,PASS,1,3,0.12,17,0.68,B21,B15,59.400000000000006,30.96,62.63999999999999,15.12,1,1,False,False,False,PASS,True,1
Away,PASS,PASS,1,45,1.8,61,2.44,B15,B19,59.400000000000006,13.68,48.6,22.32,1,1,False,False,False,PASS,True,2
Away,PASS,PASS,1,77,3.08,96,3.84,B19,B21,48.6,23.04,52.92,33.84,1,1,False,False,False,PASS,True,3
Away,PASS,PASS,1,191,7.64,217,8.68,B21,B22,43.2,52.56,34.56,70.56,1,1,False,False,False,PASS,True,4
Away,PASS,PASS,1,279,11.16,303,12.12,B22,B17,42.120000000000005,69.12,52.92,70.56,1,1,False,False,False,PASS,True,5
Away,BALL LOST,INTERCEPTION,1,346,13.84,380,15.2,B17,,55.08,69.84,29.160000000000004,54.0,1,1,False,False,False,PASS,False,6
Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,A02,,29.160000000000004,56.16,63.72,46.08,1,1,True,False,False,PASS,False,7
Home,PASS,HEAD,1,498,19.92,536,21.44,A02,A09,38.88,48.24,57.24,42.48,1,1,True,False,False,PASS,True,8
Home,PASS,PASS,1,536,21.44,556,22.24,A09,A10,57.24,42.48,54.0,46.8,1,1,True,False,False,PASS,True,9
Home,BALL LOST,INTERCEPTION,1,572,22.88,616,24.64,A10,,54.0,46.8,72.36,31.68,1,1,True,False,False,PASS,False,10
Away,PASS,PASS,1,763,30.52,784,31.36,B16,B19,62.63999999999999,19.44,55.08,23.76,1,1,False,False,False,PASS,True,11
Away,PASS,PASS,1,784,31.36,804,32.16,B19,B20,55.08,23.76,61.56,33.84,1,1,False,False,False,PASS,True,12
Away,PASS,PASS,1,834,33.36,881,35.24,B20,B22,57.24,38.16,47.52,66.24000000000001,1,1,False,False,False,PASS,True,13
Away,PASS,PASS,1,976,39.04,1010,40.4,B22,B17,38.88,69.12,51.84,61.92,1,1,False,False,False,PASS,True,14
Away,BALL LOST,INTERCEPTION,1,1110,44.4,1134,45.36,B17,,45.36,56.88,33.48,60.48,1,1,False,False,False,PASS,False,15
Home,PASS,HEAD,1,1134,45.36,1154,46.16,A05,A06,34.56,64.08,33.48,56.16,1,1,True,False,False,PASS,True,16
Home,PASS,PASS,1,1154,46.16,1177,47.08,A06,A10,33.48,56.16,44.28,53.28,1,1,True,False,False,PASS,True,17
Home,PASS,PASS,1,1226,49.04,1266,50.64,A10,A08,49.68,48.96,60.48,24.48,1,1,True,False,False,PASS,True,18
Home,BALL LOST,INTERCEPTION,1,1370,54.8,1375,55.0,A08,,92.88,18.72,95.04,20.160000000000004,1,1,True,False,False,PASS,False,19
Home,PASS,PASS,1,2143,85.72,2184,87.36,A06,A10,108.0,0.72,97.2,6.48,1,1,True,False,False,PASS,True,20
Away,PASS,PASS,1,3675,147.0,3703,148.12,B19,B21,52.92,36.0,62.63999999999999,37.44,1,1,False,False,False,PASS,True,21
Away,PASS,PASS,1,3780,151.2,3805,152.2,B21,B20,61.56,38.16,62.63999999999999,52.56,1,1,False,False,False,PASS,True,22
Away,PASS,PASS,1,3829,153.16,3854,154.16,B20,B22,61.56,54.72,56.16,70.56,1,1,False,False,False,PASS,True,23
Away,PASS,PASS,1,3882,155.28,3907,156.28,B22,B17,59.400000000000006,68.39999999999999,74.52,62.64,1,1,False,False,False,PASS,True,24
Away,PASS,PASS,1,3930,157.2,3994,159.76,B17,B25,76.67999999999999,61.92,100.44,39.6,1,1,False,False,False,PASS,True,25
Home,PASS,PASS,1,4386,175.44,4445,177.8,A01,A10,52.92,72.72,59.400000000000006,60.48,1,1,True,False,False,PASS,True,26
Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,B19,,58.32000000000001,62.64,51.84,61.2,1,1,False,False,False,PASS,False,27
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,A01,,39.96,69.84,70.2,66.24000000000001,1,1,True,False,False,PASS,False,28
Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,B17,,64.8,68.39999999999999,38.88,56.16,1,1,False,False,False,PASS,False,29
Away,PASS,PASS,1,5057,202.28,5081,203.24,B22,B19,62.63999999999999,72.72,61.56,64.08,1,1,False,False,False,PASS,True,30
Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206.0,B19,,61.56,64.08,27.0,60.48,1,1,False,False,False,PASS,False,31
Home,PASS,PASS,1,5149,205.96,5202,208.08,A02,A01,25.92,59.04,34.56,64.08,1,1,True,False,False,PASS,True,32
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,A01,,34.56,64.08,35.64,60.48,1,1,True,False,False,PASS,False,33
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,A01,,28.08,69.12,69.12,63.36,1,1,True,False,False,PASS,False,34
Away,PASS,HEAD,1,5385,215.4,5412,216.48,B17,B20,63.72,64.08,58.32000000000001,61.2,1,1,False,False,False,PASS,True,35
Away,PASS,PASS,1,5431,217.24,5471,218.84,B20,B18,59.400000000000006,59.76,48.6,36.0,1,1,False,False,False,PASS,True,36
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,A04,,32.4,30.96,30.24,37.44,1,1,True,False,False,PASS,False,37
Home,PASS,PASS,1,5627,225.08,5663,226.52,A01,A02,15.12,43.2,19.44,38.16,1,1,True,False,False,PASS,True,38
Home,PASS,PASS,1,5663,226.52,5685,227.4,A02,A08,19.44,38.16,25.92,28.8,1,1,True,False,False,PASS,True,39
Home,PASS,PASS,1,5761,230.44,5809,232.36,A08,A10,42.120000000000005,20.88,64.8,6.48,1,1,True,False,False,PASS,True,40
Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,B25,B18,102.6,32.4,57.24,2.88,1,1,False,False,False,PASS,True,41
Away,PASS,PASS,1,6863,274.52,6886,275.44,B21,B20,57.24,20.88,58.32000000000001,26.64,1,1,False,False,False,PASS,True,42
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,A06,,58.32000000000001,21.6,59.400000000000006,26.64,1,1,True,False,False,PASS,False,43
Away,PASS,PASS,1,6905,276.2,6946,277.84,B20,B22,56.16,29.52,49.68,56.16,1,1,False,False,False,PASS,True,44
Home,PASS,PASS,1,7041,281.64,7148,285.92,A03,A04,10.8,30.24,3.24,2.16,1,1,True,False,False,PASS,True,45
Away,PASS,PASS,1,7203,288.12,7266,290.64,B18,B21,14.04,0.72,21.6,7.92,1,1,False,False,False,PASS,True,46
Away,PASS,PASS,1,7266,290.64,7290,291.6,B21,B18,21.6,7.92,19.44,2.88,1,1,False,False,False,PASS,True,47
Away,PASS,PASS,1,7334,293.36,7387,295.48,B18,B15,25.92,1.44,41.04,5.76,1,1,False,False,False,PASS,True,48
Away,PASS,PASS,1,7404,296.16,7427,297.08,B15,B23,41.04,5.76,27.0,15.12,1,1,False,False,False,PASS,True,49
Away,PASS,PASS,1,7519,300.76,7556,302.24,B19,B18,28.08,20.88,31.32,5.040000000000001,1,1,False,False,False,PASS,True,50
Away,PASS,PASS,1,7603,304.12,7632,305.28,B18,B19,31.32,5.040000000000001,32.4,17.28,1,1,False,False,False,PASS,True,51
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,A11,,4.32,37.44,69.12,27.36,1,1,True,False,False,PASS,False,52
Away,PASS,HEAD,1,8650,346.0,8686,347.44,B15,B16,71.28,25.2,81.0,27.36,1,1,False,False,False,PASS,True,53
Away,PASS,PASS,1,8868,354.72,8892,355.68,B18,B19,83.16,-0.72,77.75999999999999,7.2,1,1,False,False,False,PASS,True,54
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,B19,,76.67999999999999,7.92,8.64,12.24,1,1,False,False,False,PASS,False,55
Away,PASS,PASS,1,9215,368.6,9255,370.2,B23,B18,6.48,0.0,23.76,4.32,1,1,False,False,False,PASS,True,56
Away,PASS,PASS,1,9306,372.24,9337,373.48,B18,B19,19.44,7.92,25.92,21.6,1,1,False,False,False,PASS,True,57
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,B19,,25.92,21.6,25.92,28.08,1,1,False,False,False,PASS,False,58
Home,PASS,PASS,1,9390,375.6,9442,377.68,A06,A10,31.32,27.36,59.400000000000006,9.36,1,1,True,False,False,PASS,True,59
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,A10,A08,93.96,20.88,103.68,26.64,1,1,True,False,False,PASS,True,60
