team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome
Away,PASS,PASS,1,51,2.04,87,3.48,B23,B20,54.0,36.0,43.2,36.72,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,146,5.84,186,7.44,B20,B18,46.44,36.0,47.52,15.84,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,248,9.92,283,11.32,B18,B17,50.76,13.68,33.48,20.160000000000004,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,316,12.64,346,13.84,B17,B16,31.32,23.04,28.08,41.76,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,395,15.8,423,16.92,B16,B15,28.08,47.52,29.160000000000004,65.52,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,451,18.04,504,20.16,B15,,28.08,66.24000000000001,69.12,66.96000000000001,1,2,True,False,False,PASS,False
Away,PASS,PASS,1,672,26.88,722,28.88,B15,B16,54.0,72.72,35.64,66.24000000000001,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,768,30.72,808,32.32,B16,B17,31.32,60.48,24.84,38.16,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,855,34.2,925,37.0,B17,B16,23.76,36.72,24.84,62.64,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,925,37.0,947,37.88,B16,B15,24.84,62.64,30.24,71.28,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,956,38.24,1016,40.64,B15,B16,30.24,71.28,16.2,64.8,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,1016,40.64,1087,43.48,B16,,16.2,64.8,55.08,50.4,1,2,True,False,False,PASS,False
Away,PASS,PASS,1,1155,46.2,1170,46.8,B21,B20,43.2,48.24,38.88,46.8,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,1170,46.8,1224,48.96,B20,B18,38.88,46.8,38.88,17.28,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,1289,51.56,1319,52.76,B18,B24,52.92,12.96,66.96,12.96,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,1392,55.68,1429,57.16,B24,,77.75999999999999,2.88,93.96,9.36,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,1467,58.68,1489,59.56,A01,A11,101.52,13.68,108.0,25.2,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,1489,59.56,1578,63.12,A11,A09,108.0,25.2,63.72,10.080000000000002,1,2,False,False,False,PASS,True
Home,BALL LOST,INTERCEPTION,1,1578,63.12,1611,64.44,A09,,63.72,10.080000000000002,56.16,20.88,1,2,False,False,False,PASS,False
Home,PASS,HEAD,1,1672,66.88,1693,67.72,A06,A07,73.44000000000001,20.160000000000004,73.44000000000001,26.64,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,1721,68.84,1753,70.12,B24,B21,72.36,23.76,62.63999999999999,31.68,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,1780,71.2,1843,73.72,B21,B15,63.72,34.56,60.48,60.48,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,1843,73.72,1876,75.04,B15,,60.48,60.48,74.52,51.84,1,2,True,False,False,PASS,False
Home,BALL LOST,INTERCEPTION,1,1874,74.96,1918,76.72,A07,,73.44000000000001,51.12,62.63999999999999,61.92,1,2,False,False,False,PASS,False
Away,PASS,PASS,1,1936,77.44,1993,79.72,B15,B16,58.32000000000001,63.36,36.720000000000006,52.56,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,2024,80.96,2079,83.16,B16,B17,34.56,48.96,34.56,27.36,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,2199,87.96,2241,89.64,B17,B16,41.04,27.36,36.720000000000006,48.96,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,2285,91.4,2320,92.8,B16,B15,37.8,51.12,46.44,67.67999999999999,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,2350,94.0,2370,94.8,B15,B19,46.44,68.39999999999999,57.24,72.0,1,2,True,False,False,PASS,True
Away,BALL LOST,INTERCEPTION,1,2370,94.8,2417,96.68,B19,,57.24,72.0,70.2,56.88,1,2,True,False,False,PASS,False
Home,PASS,PASS,1,2414,96.56,2440,97.6,A03,A08,71.28,61.92,55.08,67.67999999999999,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2465,98.6,2493,99.72,A08,A04,56.16,67.67999999999999,64.8,69.84,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2511,100.44,2546,101.84,A04,A03,65.88,69.84,82.08,62.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2603,104.12,2708,108.32,A03,A01,84.24000000000001,57.6,57.24,4.32,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2708,108.32,2734,109.36,A01,A05,57.24,4.32,64.8,9.36,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2789,111.56,2811,112.44,A05,A06,60.48,4.32,59.400000000000006,20.160000000000004,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,2906,116.24,2923,116.92,A06,A10,51.84,26.64,35.64,29.52,1,2,False,False,False,PASS,True
